corredor,onibus hora,extensao,convencional,especial,total,ano
BR - 324 (Coca-Cola),73, 21.39,19,2,21,2019
AV. ALIOMAR BALEEIRO (Mansao do Caminho),63, 19.04,17,1,18,2019
AV. AFRANIO PEIXOTO (Baixa do Fiscal),150, 14.50,44,1,45,2019
AV. LUIS VIANA FILHO (PARALELA) - Shopping Amazonas,133, 13.37,30,0,30,2019
AV. OCTAVIO MANGABEIRA (Sol Plaza Hotel),60, 13.18,18,1,19,2019
AV. ANTONIO CARLOS MAGALHAES (Mc Donalds),226, 6.80,41,1,42,2019
EST. CAMPINAS S. CAETANO (Bompreco),62, 5.67,21,0,21,2019
AV. JURACY MAGALHAES JR. (Ceasa),160, 4.99,32,2,34,2019
AV. S. MARCOS AV. S. RAFAEL (Hospital Sao Rafael),74, 4.59,18,0,18,2019
AV. MARIO LEAL FERREIRA (BONOCO) Escola da Biblia,121, 4.51,31,1,32,2019
R. SILVEIRA MARTINS (Chacara Cabula),102, 4.50,19,0,19,2019
AV. TANCREDO NEVES (Hospital Sarah),223, 3.86,40,0,40,2019
AV. VASCO DA GAMA (Perini),59, 3.60,13,1,14,2019
AV. BARROS REIS (Madeireira Cristo Rei),144, 2.00,39,3,42,2019
AV. HEITOR DIAS (Bar Sertanejo),98, 2.00,18,2,20,2019
AV. DA FRANCA (Fuzileiros Navais),207, 3.23,54,1,55,2019
AV. CENTENARIO (Hospital Santo Amaro),93, 2.82,15,2,17,2019
AV. D. JOAO VI (Hospital Aristides Maltez),48, 2.78,11,1,12,2019
R. LIMA E SILVA (Plano Inclinado),58, 2.60,16,0,16,2019
AV. CARDEAL DA SILVA (Unifacs),32, 2.17,11,0,11,2019
AV. SETE DE SETEMBRO (Porto da Barra),49, 2.10,14,1,15,2019
AV. JOANA ANGELICA (Colegio Central),33, 1.38,5,0,5,2019
RUA CARLOS GOMES (Igreja Universal),98,1.11,30,1,31,2019
