"mes","operadora","num_linhas","ano"
"jan","CSN",127,2018
"fev","CSN",117,2018
"mar","CSN",117,2018
"abr","CSN",115,2018
"mai","CSN",115,2018
"jun","CSN",115,2018
"jul","CSN",117,2018
"ago","CSN",117,2018
"set","CSN",117,2018
"out","CSN",108,2018
"nov","CSN",118,2018
"dez","CSN",115,2018
"jan","OTT",117,2018
"fev","OTT",108,2018
"mar","OTT",107,2018
"abr","OTT",106,2018
"mai","OTT",106,2018
"jun","OTT",106,2018
"jul","OTT",106,2018
"ago","OTT",106,2018
"set","OTT",106,2018
"out","OTT",101,2018
"nov","OTT",105,2018
"dez","OTT",108,2018
"jan","PLAT",113,2018
"fev","PLAT",111,2018
"mar","PLAT",111,2018
"abr","PLAT",111,2018
"mai","PLAT",110,2018
"jun","PLAT",110,2018
"jul","PLAT",108,2018
"ago","PLAT",107,2018
"set","PLAT",107,2018
"out","PLAT",101,2018
"nov","PLAT",108,2018
"dez","PLAT",105,2018
