mes,operadora,num_linhas,ano
jan,CSN,0,2021
fev,CSN,0,2021
mar,CSN,0,2021
abr,CSN,0,2021
mai,CSN,0,2021
jun,CSN,0,2021
jul,CSN,0,2021
ago,CSN,0,2021
set,CSN,0,2021
out,CSN,0,2021
nov,CSN,0,2021
dez,CSN,0,2021
jan,OTT,130,2021
fev,OTT,130,2021
mar,OTT,130,2021
abr,OTT,130,2021
mai,OTT,130,2021
jun,OTT,130,2021
jul,OTT,130,2021
ago,OTT,130,2021
set,OTT,130,2021
out,OTT,130,2021
nov,OTT,130,2021
dez,OTT,130,2021
jan,PLAT,104,2021
fev,PLAT,104,2021
mar,PLAT,104,2021
abr,PLAT,104,2021
mai,PLAT,104,2021
jun,PLAT,104,2021
jul,PLAT,104,2021
ago,PLAT,104,2021
set,PLAT,104,2021
out,PLAT,104,2021
nov,PLAT,104,2021
dez,PLAT,104,2021
