mes,operadora,num_linhas,ano
jan,CSN,127,2018
fev,CSN,117,2018
mar,CSN,117,2018
abr,CSN,115,2018
mai,CSN,115,2018
jun,CSN,115,2018
jul,CSN,117,2018
ago,CSN,117,2018
set,CSN,117,2018
out,CSN,108,2018
nov,CSN,118,2018
dez,CSN,115,2018
jan,OTT,117,2018
fev,OTT,108,2018
mar,OTT,107,2018
abr,OTT,106,2018
mai,OTT,106,2018
jun,OTT,106,2018
jul,OTT,106,2018
ago,OTT,106,2018
set,OTT,106,2018
out,OTT,101,2018
nov,OTT,105,2018
dez,OTT,108,2018
jan,PLAT,113,2018
fev,PLAT,111,2018
mar,PLAT,111,2018
abr,PLAT,111,2018
mai,PLAT,110,2018
jun,PLAT,110,2018
jul,PLAT,108,2018
ago,PLAT,107,2018
set,PLAT,107,2018
out,PLAT,101,2018
nov,PLAT,108,2018
dez,PLAT,105,2018
jan,CSN,115,2019
fev,CSN,110,2019
mar,CSN,116,2019
abr,CSN,115,2019
mai,CSN,115,2019
jun,CSN,115,2019
jul,CSN,115,2019
ago,CSN,110,2019
set,CSN,110,2019
out,CSN,110,2019
nov,CSN,110,2019
dez,CSN,113,2019
jan,OTT,108,2019
fev,OTT,103,2019
mar,OTT,110,2019
abr,OTT,110,2019
mai,OTT,110,2019
jun,OTT,110,2019
jul,OTT,110,2019
ago,OTT,106,2019
set,OTT,106,2019
out,OTT,106,2019
nov,OTT,104,2019
dez,OTT,106,2019
jan,PLAT,104,2019
fev,PLAT,102,2019
mar,PLAT,101,2019
abr,PLAT,101,2019
mai,PLAT,101,2019
jun,PLAT,101,2019
jul,PLAT,101,2019
ago,PLAT,99,2019
set,PLAT,99,2019
out,PLAT,99,2019
nov,PLAT,100,2019
dez,PLAT,102,2019
jan,CSN,110,2020
fev,CSN,110,2020
mar,CSN,110,2020
abr,CSN,110,2020
mai,CSN,110,2020
jun,CSN,110,2020
jul,CSN,110,2020
ago,CSN,110,2020
set,CSN,110,2020
out,CSN,110,2020
nov,CSN,110,2020
dez,CSN,110,2020
jan,OTT,103,2020
fev,OTT,103,2020
mar,OTT,103,2020
abr,OTT,103,2020
mai,OTT,103,2020
jun,OTT,103,2020
jul,OTT,103,2020
ago,OTT,103,2020
set,OTT,103,2020
out,OTT,103,2020
nov,OTT,103,2020
dez,OTT,103,2020
jan,PLAT,102,2020
fev,PLAT,102,2020
mar,PLAT,102,2020
abr,PLAT,102,2020
mai,PLAT,102,2020
jun,PLAT,102,2020
jul,PLAT,102,2020
ago,PLAT,102,2020
set,PLAT,102,2020
out,PLAT,102,2020
nov,PLAT,102,2020
dez,PLAT,102,2020
jan,CSN,0,2021
fev,CSN,0,2021
mar,CSN,0,2021
abr,CSN,0,2021
mai,CSN,0,2021
jun,CSN,0,2021
jul,CSN,0,2021
ago,CSN,0,2021
set,CSN,0,2021
out,CSN,0,2021
nov,CSN,0,2021
dez,CSN,0,2021
jan,OTT,130,2021
fev,OTT,130,2021
mar,OTT,130,2021
abr,OTT,130,2021
mai,OTT,130,2021
jun,OTT,130,2021
jul,OTT,130,2021
ago,OTT,130,2021
set,OTT,130,2021
out,OTT,130,2021
nov,OTT,130,2021
dez,OTT,130,2021
jan,PLAT,104,2021
fev,PLAT,104,2021
mar,PLAT,104,2021
abr,PLAT,104,2021
mai,PLAT,104,2021
jun,PLAT,104,2021
jul,PLAT,104,2021
ago,PLAT,104,2021
set,PLAT,104,2021
out,PLAT,104,2021
nov,PLAT,104,2021
dez,PLAT,104,2021
